Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State/Province,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Quarter,Month,Year,Division,Forecast_Revenue,Pipeline_Stage,Probability_%,Renewal_Probability,Variance,Growth_Rate_%,Scenario,Forecast_Status
11,US-2023-167199,2023-06-01,01-10-2023,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-PA-10000955,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,6.54,1,0.0,3.0084,1.0,January,2023.0,Technology Licensing,7.51,Proposal,75,60,-0.97,-78.98,Best Case,Below Forecast
12,US-2023-130813,2023-06-01,01-08-2023,Second Class,LS-17230,Lycoris Saunders,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,19.44,3,0.0,9.3312,1.0,January,2023.0,Technology Licensing,19.27,Closed Won,40,66,0.17,197.25,Best Case,Above Forecast
13,US-2023-167199,2023-06-01,01-10-2023,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96,4,0.0,204.1092,1.0,January,2023.0,Professional Services,770.73,Proposal,60,72,-14.77,3788.68,Worst Case,Below Forecast
14,US-2023-167199,2023-06-01,01-10-2023,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,TEC-PH-10004977,Technology,Phones,GE 30524EE4,391.98,2,0.0,113.6742,1.0,January,2023.0,Technology Licensing,390.05,Closed Won,75,73,1.93,-48.15,Expected Case,Above Forecast
15,US-2023-105417,2023-07-01,01-12-2023,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.728,3,0.6,-53.7096,1.0,January,2023.0,Managed Services,79.81,Closed Won,75,76,-3.08,-80.43,Expected Case,Below Forecast
16,US-2023-105417,2023-07-01,01-12-2023,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.43,7,0.8,-18.2525,1.0,January,2023.0,Professional Services,10.28,Closed Won,60,89,0.15,-86.41,Worst Case,Above Forecast
17,US-2023-135405,2023-09-01,1/13/2023,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,OFF-AR-10004078,Office Supplies,Art,Newell 312,9.344,2,0.2,1.168,1.0,January,2023.0,Managed Services,11.11,Proposal,40,93,-1.77,-10.41,Worst Case,Below Forecast
18,US-2023-135405,2023-09-01,1/13/2023,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.2,3,0.2,9.75,1.0,January,2023.0,Managed Services,31.01,Proposal,60,86,0.19,233.9,Worst Case,Above Forecast
19,US-2023-149020,2023-10-01,1/15/2023,Standard Class,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,FUR-FU-10000965,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,1,0.0,21.2954,1.0,January,2023.0,Managed Services,48.27,Lead,90,84,3.67,66.47,Best Case,Above Forecast
20,US-2023-149020,2023-10-01,1/15/2023,Standard Class,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,OFF-LA-10004272,Office Supplies,Labels,Avery 482,2.89,1,0.0,1.3583,1.0,January,2023.0,Managed Services,3.06,Closed Won,75,94,-0.17,-94.44,Worst Case,Below Forecast
21,US-2023-130092,2023-11-01,1/14/2023,First Class,SV-20365,Seth Vernon,Consumer,United States,Dover,Delaware,19901,East,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",9.94,2,0.0,3.0814,1.0,January,2023.0,Professional Services,9.12,Proposal,90,68,0.82,243.94,Best Case,Above Forecast
22,US-2023-157147,2023-08-09,1/18/2023,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",333.999,3,0.15,3.9294,2.9128329297820823,November,2023.0,Professional Services,311.68,Lead,75,65,22.32,3260.15,Best Case,Above Forecast
23,US-2023-109232,2023-08-09,1/16/2023,Second Class,ND-18370,Natalie DeCherney,Consumer,United States,Mount Pleasant,South Carolina,29464,South,FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,545.94,6,0.0,87.3504,2.9128329297820823,November,2023.0,Managed Services,527.28,Closed Won,60,85,18.66,63.46,Expected Case,Above Forecast
24,US-2023-157147,2023-08-09,1/18/2023,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,19.9,5,0.0,6.567,2.9128329297820823,November,2023.0,Managed Services,20.68,Proposal,40,86,-0.78,-96.35,Worst Case,Below Forecast
25,US-2023-118192,2023-08-09,1/18/2023,Standard Class,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,OFF-BI-10003476,Office Supplies,Binders,Avery Metallic Poly Binders,3.438,2,0.7,-2.5212,2.9128329297820823,November,2023.0,Professional Services,3.54,Proposal,60,90,-0.1,-82.72,Best Case,Below Forecast
26,US-2023-162775,2023-08-09,1/15/2023,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-BI-10004187,Office Supplies,Binders,3-ring staple pack,5.64,3,0.0,2.7072,2.9128329297820823,November,2023.0,Professional Services,6.43,Proposal,90,62,-0.79,64.05,Best Case,Below Forecast
27,US-2023-162775,2023-08-09,1/15/2023,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001532,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,50.94,3,0.0,25.47,2.9128329297820823,November,2023.0,Professional Services,57.15,Negotiation,40,83,-6.21,803.19,Worst Case,Below Forecast
28,US-2023-162775,2023-08-09,1/15/2023,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,11.36,2,0.0,5.3392,2.9128329297820823,November,2023.0,Technology Licensing,11.68,Lead,40,74,-0.32,-77.7,Best Case,Below Forecast
29,US-2023-118192,2023-08-09,1/18/2023,Standard Class,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,OFF-PA-10002947,Office Supplies,Paper,Xerox 1923,37.408,7,0.2,13.0928,2.9128329297820823,November,2023.0,Technology Licensing,37.41,Proposal,75,65,0.0,229.3,Best Case,Above Forecast
30,US-2023-162775,2023-08-09,1/15/2023,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-ST-10000025,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,6,0.0,34.3548,2.9128329297820823,November,2023.0,Technology Licensing,569.68,Negotiation,40,70,2.9,1430.64,Best Case,Above Forecast
31,US-2023-157147,2023-08-09,1/18/2023,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1325.85,5,0.0,238.653,2.9128329297820823,November,2023.0,Managed Services,1501.13,Lead,75,89,-175.28,131.56,Worst Case,Below Forecast
32,US-2023-162775,2023-08-09,1/15/2023,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,TEC-AC-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,646.74,6,0.0,258.696,2.9128329297820823,November,2023.0,Technology Licensing,592.17,Lead,40,94,54.57,-51.22,Best Case,Above Forecast
33,US-2023-149524,2023-08-09,1/15/2023,First Class,BS-11590,Brendan Sweed,Corporate,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10003433,Furniture,Bookcases,Sauder Cornerstone Collection Library,61.96,4,0.5,-53.2856,2.9128329297820823,November,2023.0,Managed Services,56.0,Negotiation,40,88,5.96,-90.42,Expected Case,Above Forecast
34,US-2023-103366,2023-08-09,1/17/2023,First Class,EH-13990,Erica Hackney,Consumer,United States,Roswell,Georgia,30076,South,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95,5,0.0,65.978,2.9128329297820823,November,2023.0,Managed Services,170.74,Lead,75,82,-20.79,142.01,Worst Case,Below Forecast
35,US-2023-115791,2023-08-09,1/18/2023,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,127.104,6,0.2,28.5984,2.9128329297820823,November,2023.0,Technology Licensing,132.59,Negotiation,40,62,-5.49,-15.24,Expected Case,Below Forecast
36,US-2023-115791,2023-08-09,1/18/2023,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-BI-10001575,Office Supplies,Binders,GBC Linen Binding Covers,18.588,2,0.7,-13.6312,2.9128329297820823,November,2023.0,Managed Services,17.46,Closed Won,60,85,1.13,-85.38,Expected Case,Above Forecast
37,US-2023-115791,2023-08-09,1/18/2023,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-LA-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels,30.072,3,0.2,10.1493,2.9128329297820823,November,2023.0,Technology Licensing,29.19,Proposal,40,73,0.88,61.78,Expected Case,Above Forecast
38,US-2023-115791,2023-08-09,1/18/2023,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,TEC-PH-10004614,Technology,Phones,AT&T 841000 Phone,124.2,3,0.4,-31.05,2.9128329297820823,November,2023.0,Technology Licensing,146.53,Negotiation,90,78,-22.33,313.01,Best Case,Below Forecast
39,US-2023-123477,2023-08-09,1/21/2023,Second Class,DW-13195,David Wiener,Corporate,United States,Springfield,Oregon,97477,West,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.864,4,0.2,6.4864,2.9128329297820823,November,2023.0,Professional Services,75.1,Lead,75,80,-10.24,-47.77,Best Case,Below Forecast
40,US-2023-146591,2023-08-09,1/20/2023,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.47,5,0.7,-320.597,2.9128329297820823,November,2023.0,Technology Licensing,201.96,Lead,75,80,-20.49,179.77,Expected Case,Below Forecast
41,US-2023-146591,2023-08-09,1/20/2023,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.34,10,0.7,-23.716,2.9128329297820823,November,2023.0,Professional Services,33.78,Closed Won,60,68,-1.44,-82.18,Expected Case,Below Forecast
42,US-2023-146591,2023-08-09,1/20/2023,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",108.72,5,0.2,36.693,2.9128329297820823,November,2023.0,Technology Licensing,114.82,Closed Won,90,72,-6.1,236.18,Worst Case,Below Forecast
43,US-2023-146591,2023-08-09,1/20/2023,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-PA-10000659,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56.064,4,0.2,19.6224,2.9128329297820823,November,2023.0,Technology Licensing,66.86,Closed Won,40,83,-10.8,-48.43,Expected Case,Below Forecast
44,US-2023-147627,2023-08-09,1/26/2023,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1067.94,3,0.0,224.2674,2.9128329297820823,November,2023.0,Professional Services,1270.56,Closed Won,60,70,-202.62,1804.86,Best Case,Below Forecast
45,US-2023-167927,2023-08-09,1/26/2023,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,14.73,3,0.0,4.8609,2.9128329297820823,November,2023.0,Professional Services,14.21,Closed Won,40,88,0.52,-98.62,Expected Case,Above Forecast
46,US-2023-167927,2023-08-09,1/26/2023,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,272.94,3,0.0,30.0234,2.9128329297820823,November,2023.0,Technology Licensing,312.06,Proposal,60,76,-39.12,1752.95,Expected Case,Below Forecast
47,US-2023-147627,2023-08-09,1/26/2023,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",38.6,4,0.0,11.58,2.9128329297820823,November,2023.0,Managed Services,37.02,Negotiation,75,85,1.58,-85.86,Worst Case,Above Forecast
48,US-2023-148614,2023-08-09,1/25/2023,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,2,0.0,5.79,2.9128329297820823,November,2023.0,Professional Services,18.61,Closed Won,90,85,0.69,-50.0,Expected Case,Above Forecast
49,US-2023-167927,2023-08-09,1/26/2023,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",247.716,4,0.1,93.5816,2.9128329297820823,November,2023.0,Managed Services,273.19,Closed Won,75,71,-25.47,1183.5,Worst Case,Below Forecast
50,US-2023-147627,2023-08-09,1/26/2023,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-AR-10002375,Office Supplies,Art,Newell 351,22.96,7,0.0,6.6584,2.9128329297820823,November,2023.0,Managed Services,23.45,Proposal,60,77,-0.49,-90.73,Worst Case,Below Forecast
51,US-2023-147627,2023-08-09,1/26/2023,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-AR-10003811,Office Supplies,Art,Newell 327,6.63,3,0.0,1.7901,2.9128329297820823,November,2023.0,Managed Services,7.82,Negotiation,40,68,-1.19,-71.12,Expected Case,Below Forecast
52,US-2023-167927,2023-08-09,1/26/2023,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-AR-10004456,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,43.92,3,0.0,12.7368,2.9128329297820823,November,2023.0,Professional Services,40.7,Closed Won,90,62,3.22,562.44,Expected Case,Above Forecast
53,US-2023-167927,2023-08-09,1/26/2023,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-BI-10000605,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",19.05,5,0.0,8.9535,2.9128329297820823,November,2023.0,Managed Services,20.07,Negotiation,40,69,-1.02,-56.63,Best Case,Below Forecast
54,US-2023-147774,2023-08-09,1/26/2023,Standard Class,MM-18280,Muhammed MacIntyre,Corporate,United States,Smyrna,Tennessee,37167,South,OFF-BI-10003091,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,67.194,1,0.7,-51.5154,2.9128329297820823,November,2023.0,Professional Services,78.99,Negotiation,75,61,-11.8,252.72,Best Case,Below Forecast
55,US-2023-167927,2023-08-09,1/26/2023,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,29.7,5,0.0,13.365,2.9128329297820823,November,2023.0,Managed Services,34.79,Proposal,40,67,-5.09,-55.8,Worst Case,Below Forecast
56,US-2023-147627,2023-08-09,1/26/2023,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-EN-10001539,Office Supplies,Envelopes,Staple envelope,23.34,3,0.0,10.9698,2.9128329297820823,November,2023.0,Technology Licensing,22.1,Proposal,60,77,1.24,-21.41,Worst Case,Above Forecast
57,US-2023-148614,2023-08-09,1/25/2023,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002893,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",19.36,2,0.0,9.2928,2.9128329297820823,November,2023.0,Technology Licensing,19.55,Closed Won,90,90,-0.19,-17.05,Best Case,Below Forecast
58,US-2023-167927,2023-08-09,1/26/2023,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,13.98,1,0.0,4.0542,2.9128329297820823,November,2023.0,Professional Services,15.18,Lead,90,73,-1.2,-27.79,Worst Case,Below Forecast
59,US-2023-167927,2023-08-09,1/26/2023,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,66.58,2,0.0,15.9792,2.9128329297820823,November,2023.0,Technology Licensing,63.11,Proposal,90,92,3.47,376.25,Best Case,Above Forecast
60,US-2023-147627,2023-08-09,1/26/2023,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,TEC-PH-10001061,Technology,Phones,Apple iPhone 5C,699.93,7,0.0,181.9818,2.9128329297820823,November,2023.0,Technology Licensing,833.2,Negotiation,60,88,-133.27,951.26,Worst Case,Below Forecast
61,US-2023-110422,2023-08-09,1/23/2023,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Miami,Florida,33180,South,FUR-FU-10001889,Furniture,Furnishings,Ultra Door Pull Handle,25.248,3,0.2,4.1028,2.9128329297820823,November,2023.0,Managed Services,29.65,Negotiation,40,92,-4.4,-96.39,Best Case,Below Forecast
62,CA-2023-115238,2023-08-09,1/24/2023,Standard Class,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10001025,Furniture,Furnishings,"Eldon Imàge Series Desk Accessories, Clear",24.3,5,0.0,10.45,2.9128329297820823,November,2023.0,Professional Services,23.09,Closed Won,90,94,1.21,-3.75,Best Case,Above Forecast
63,CA-2023-115238,2023-08-09,1/24/2023,Standard Class,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10002445,Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",9.48,1,0.0,3.79,2.9128329297820823,November,2023.0,Managed Services,8.88,Closed Won,75,61,0.6,-60.99,Worst Case,Above Forecast
64,CA-2023-115238,2023-08-09,1/24/2023,Standard Class,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",31.4,5,0.0,13.19,2.9128329297820823,November,2023.0,Managed Services,29.06,Closed Won,75,94,2.34,231.22,Worst Case,Above Forecast
65,CA-2023-115238,2023-08-09,1/24/2023,Standard Class,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,OFF-PA-10002689,Office Supplies,Paper,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),6.48,1,0.0,3.11,2.9128329297820823,November,2023.0,Managed Services,7.6,Negotiation,75,91,-1.12,-79.36,Worst Case,Below Forecast
66,CA-2023-115238,2023-08-09,1/24/2023,Standard Class,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,TEC-PH-10001300,Technology,Phones,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",209.5,10,0.0,58.66,2.9128329297820823,November,2023.0,Managed Services,200.72,Proposal,75,95,8.78,3133.02,Expected Case,Above Forecast
67,US-2023-146997,2023-08-09,1/27/2023,Standard Class,SG-20605,Speros Goranitis,Consumer,United States,Lafayette,Indiana,47905,Central,OFF-FA-10003467,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",5.94,3,0.0,0.0,2.9128329297820823,November,2023.0,Managed Services,6.09,Lead,75,82,-0.15,-97.16,Expected Case,Below Forecast
68,US-2023-102645,2023-08-09,1/28/2023,Standard Class,IM-15055,Ionia McGrath,Consumer,United States,Las Vegas,Nevada,89115,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,40.08,6,0.0,19.2384,2.9128329297820823,November,2023.0,Managed Services,41.47,Proposal,60,64,-1.39,574.75,Worst Case,Below Forecast
69,US-2023-167997,2023-08-09,1/29/2023,First Class,CA-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,57701,Central,FUR-BO-10004409,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",141.96,2,0.0,39.7488,2.9128329297820823,November,2023.0,Managed Services,153.27,Lead,40,75,-11.31,254.19,Worst Case,Below Forecast
70,US-2023-155502,2023-08-09,1/31/2023,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,FUR-FU-10001847,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,12.42,3,0.0,4.4712,2.9128329297820823,November,2023.0,Professional Services,11.45,Proposal,60,83,0.97,-91.25,Worst Case,Above Forecast
71,US-2023-155502,2023-08-09,1/31/2023,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,FUR-FU-10004587,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",62.82,3,0.0,30.7818,2.9128329297820823,November,2023.0,Technology Licensing,60.81,Closed Won,75,87,2.01,405.8,Worst Case,Above Forecast
72,US-2023-167997,2023-08-09,1/29/2023,First Class,CA-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,57701,Central,OFF-BI-10001758,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,10.68,2,0.0,5.0196,2.9128329297820823,November,2023.0,Managed Services,12.6,Negotiation,75,84,-1.92,-83.0,Best Case,Below Forecast
73,US-2023-155502,2023-08-09,1/31/2023,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,OFF-PA-10000380,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",16.68,2,0.0,8.34,2.9128329297820823,November,2023.0,Managed Services,19.56,Lead,90,66,-2.88,56.18,Expected Case,Below Forecast
